"","time1","time2","time3","time4"
"sigma_P_ECF",1.236321681732e-11,1.71692654524476e-05,1.01335868098529e-05,9.72506453341591e-06
"sigma_FF",8.29244821943942e-12,2.22417781729395e-06,1.26565612659008e-06,1.76467343213499e-06
"sigma_GFR",9.07328566951862e-12,1.69161826570274e-05,9.19833997515106e-06,5.58553897969285e-06
"sigma_dtKsec_eq",1.04278465398197e-11,1.76348489577166e-05,8.22308883792171e-06,5.16503710100563e-06
"sigma_A_dtKsec",0,1.85966666171027e-05,9.365714632886e-06,6.09121815431912e-06
"sigma_B_dtKsec",1.36936802928314e-11,1.65948294012422e-05,9.43226776286188e-06,5.35118275486491e-06
"sigma_cdKsec_eq",1.1572016065774e-11,1.14169034937325e-05,6.55609082841149e-06,6.24366648578211e-06
"sigma_A_cdKsec",0,1.36059872497217e-05,7.35153004634868e-06,5.58330218534166e-06
"sigma_B_cdKsec",1.85843863159026e-12,1.61262898302288e-05,9.23163267782383e-06,5.93214027898714e-06
"sigma_A_cdKreab",8.45903024585647e-12,1.58363180983578e-05,7.78075029813738e-06,5.11392451646282e-06
"sigma_A_insulin",1.85844072893771e-12,3.89249902351642e-06,1.69828466005326e-06,2.03448598257924e-06
"sigma_B_insulin",1.5373511611233e-15,5.73478411820609e-06,3.20922292078098e-06,2.15279546189684e-06
