"","time1","time2","time3","time4"
"time",1e-04,2000,3000,5000
"mu_Phi_Kin_ss",-9.03884966874102e-11,1.59350363519177,2.61997153472894,4.58517984962214
"mu_kgut",-2.23954486955336e-10,0.138496141541364,0.135203854505766,0.128872525006786
"mu_KMuscleBase",-0.00162652985159556,-8.33733942962474,-8.20338876097724,-7.94258441446181
"mu_Kecf_base",0.00291413072345165,14.4344767806981,14.3881882330333,14.2899499727685
"mu_Km",3.89653673947522e-06,-0.0194947370411263,-0.0605790104207532,-0.133918778543616
"mu_Vmax",-1.12882282046556e-05,-0.0049123199487633,-0.00472049711873383,-0.00434675727965231
"mu_V_plasma",0.000331138962581356,-0.0858277726844984,-0.0848310724239146,-0.0828252581177207
"mu_V_inter",0.00132386892466897,8.46414715440724,8.52896917865362,8.65312533685419
"mu_V_muscle",-0.0021147287044227,-10.8122697516584,-10.6394075263316,-10.3025767081179
"mu_m_K_ALDO",-0.000112352971369795,-0.797055609696462,-1.01734377196202,-1.45672731285184
"mu_ALD_eq",-0.00134678143729263,-7.15855938480008,-7.17779607583977,-7.20945604091623
"mu_P_ECF",3.55089193888603e-07,0.180166271097601,0.185541540636857,0.19500400810578
"mu_FF",6.82155771869475e-11,-0.00138386247103228,-0.00136884177476926,-0.00133786348274494
"mu_GFR",6.24197014076344e-11,-0.142175895864446,-0.228739464626659,-0.396121682265712
"mu_dtKsec_eq",8.23336279154318e-11,-0.118410788328154,-0.189933659145663,-0.327873803871831
"mu_A_dtKsec",1.00999720586969e-10,-0.58673508869609,-0.940691851485753,-1.62238147083982
"mu_B_dtKsec",1.50299037215973e-10,-0.626732349640036,-1.00736920103866,-1.74398443996181
"mu_cdKsec_eq",-2.48519924639366e-11,-0.0138513937167837,-0.0222857235232518,-0.0385899967445667
"mu_A_cdKsec",1.19602248105366e-11,-0.0683478054045512,-0.110028078949789,-0.190616703500625
"mu_B_cdKsec",1.24382424360192e-11,-0.124782102178045,-0.201421614275316,-0.350258860605049
"mu_A_cdKreab",-1.90753013384889e-12,0.226921742345755,0.364692521852332,0.630709007424986
"mu_A_insulin",-5.13007315227227e-05,-0.260041760990778,-0.256177657404147,-0.248590299994639
"mu_B_insulin",-0.000193364188099487,-0.985562978298065,-0.969991472676861,-0.939602825762229
"mu.star_Phi_Kin_ss",9.04032049220405e-11,1.59350363519177,2.61997153472894,4.58517984962214
"mu.star_kgut",2.24180865870949e-10,0.138531585724792,0.135238877897591,0.128907208360535
"mu.star_KMuscleBase",0.00162652985159556,8.33733942962474,8.20338876097724,7.94258441446181
"mu.star_Kecf_base",0.00291413072345165,14.4344767806981,14.3881882330333,14.2899499727685
"mu.star_Km",9.31575899733446e-05,0.467819558958305,0.457087818470632,0.452114413447281
"mu.star_Vmax",0.000526771307922452,0.00598406450557662,0.00575733244752116,0.00532273524586536
"mu.star_V_plasma",0.000331138962581356,0.0858305799994958,0.0848310724239146,0.0828252581177207
"mu.star_V_inter",0.00132386892466897,8.46414715440724,8.52896917865362,8.65312533685419
"mu.star_V_muscle",0.0021147287044227,10.8122697516584,10.6394075263316,10.3025767081179
