"","time1","time2","time3","time4"
"time",1e-04,2000,3000,5000
"mu_Phi_Kin_ss",9.32732291403226e-11,112.082914020918,170.249708907287,284.400730732005
"mu_kgut",2.2987615011516e-10,7.69400826076064,7.59434777904801,7.40066195564224
"mu_KMuscleBase",0.0016265322796803,24.8558894923218,30.9806928151562,42.9504052534824
"mu_Kecf_base",-0.00291413510728626,-33.4103360516786,-39.6317124085752,-51.9375470682302
"mu_Km",-3.89654206219348e-06,-0.0035986643009165,0.0817299076600556,0.31811217197144
"mu_Vmax",1.12882592893584e-05,0.0131209582000852,0.015904307994032,0.0218897320899041
"mu_V_plasma",-0.000356642512716917,-3.63609302554969,-3.60762280938183,-3.55044418411483
"mu_V_inter",-0.00129843948534108,-8.18692314956477,-8.14665485728881,-8.0655307355989
"mu_V_muscle",0.00211473186964304,32.2566941767078,40.2115567727544,55.7593567200996
"mu_m_K_ALDO",0.000112353159761369,1.7132917750184,2.41961043377924,4.0486386033175
"mu_ALD_eq",0.00134678346677583,14.3571236725544,16.4343087252682,20.5987951632475
"mu_P_ECF",2.59028638538439e-11,0.666200489983894,0.952396073521937,1.50240312303019
"mu_FF",-6.92980393068865e-11,-0.0735189869864703,-0.0725189917482612,-0.0704865708764633
"mu_GFR",-5.50840013602282e-11,-9.83295762885442,-14.7262610779384,-24.4295208931118
"mu_dtKsec_eq",-7.29160092305392e-11,-8.16425829206175,-12.1793469078193,-20.0712419495629
"mu_A_dtKsec",-1.08665972220479e-10,-40.5857285062785,-60.5786952948151,-99.9401560519475
"mu_B_dtKsec",-1.63909589900868e-10,-43.4090799782963,-64.8480728553478,-107.163075503839
"mu_cdKsec_eq",1.67719917953945e-11,-0.971701457569751,-1.45405547276303,-2.40920661168915
"mu_A_cdKsec",-1.26465238281526e-11,-4.80854730648238,-7.19701955336172,-11.929501518239
"mu_B_cdKsec",-1.38252289616503e-11,-8.82911844895185,-13.2328268119876,-21.9943469720781
"mu_A_cdKreab",1.10912878881205e-12,15.6759281541432,23.4299244349408,38.7367375834836
"mu_A_insulin",5.13008125958549e-05,0.755178363988087,0.936692209937582,1.29203901690805
"mu_B_insulin",0.000193364485726306,2.93401350739537,3.6555710643176,5.06665241232418
"mu.star_Phi_Kin_ss",9.34451236389577e-11,112.082914020918,170.249708907287,284.400730732005
"mu.star_kgut",2.30121713684639e-10,7.69652628427639,7.59681384484163,7.40303341617508
"mu.star_KMuscleBase",0.0016265322796803,24.8558894923218,30.9806928151562,42.9504052534824
"mu.star_Kecf_base",0.00291413510728626,33.4103360516786,39.6317124085752,51.9375470682302
"mu.star_Km",9.31577303003906e-05,1.38587666558449,1.70908100381954,2.34961016465693
"mu.star_Vmax",0.00052677212002618,0.0173136912224641,0.021335127422647,0.029248569056208
"mu.star_V_plasma",0.000356642512716917,3.63609302554969,3.60762280938183,3.55044418411483
"mu.star_V_inter",0.00129843948534108,8.18692314956477,8.14665485728881,8.0655307355989
"mu.star_V_muscle",0.00211473186964304,32.2566941767078,40.2115567727544,55.7593567200996
"mu.star_m_K_ALDO",0.000547793399513466,5.27510112862358,6.11469205065599,7.9628018760585
"mu.star_ALD_eq",0.00134678346677583,14.3571236725544,16.4343087252682,20.607327952903
"mu.star_P_ECF",2.69166321231751e-10,0.831071777755777,1.17954796915305,1.84877442238395
"mu.star_FF",6.93062247592024e-11,0.0735208703040403,0.0725335152108837,0.0706301635539626
"mu.star_GFR",5.50840013602282e-11,9.83295762885442,14.7262610779384,24.4295208931118
"mu.star_dtKsec_eq",7.29323801351711e-11,8.16425829206175,12.1793469078193,20.0712419495629
"mu.star_A_dtKsec",1.08665972220479e-10,40.5857285062785,60.5786952948151,99.9401560519475
"mu.star_B_dtKsec",1.63909589900868e-10,43.4090799782963,64.8480728553478,107.163075503839
"mu.star_cdKsec_eq",2.21989466808735e-11,0.971701457569751,1.45405547276303,2.40920661168915
"mu.star_A_cdKsec",1.27201928989962e-11,4.80854730648238,7.19701955336172,11.929501518239
"mu.star_B_cdKsec",3.29137037624605e-11,8.82911844895185,13.2328268119876,21.9943469720781
"mu.star_A_cdKreab",8.03443072072698e-11,15.6759281541432,23.4299244349408,38.7367375834836
"mu.star_A_insulin",5.13008125958549e-05,0.755178363988087,0.936692209937582,1.29203901690805
"mu.star_B_insulin",0.000193364485726306,2.93401350739537,3.6555710643176,5.06665241232418
"sigma_Phi_Kin_ss",2.054586348632e-09,2.86112640133126,3.27244671422894,5.03037105025134
"sigma_kgut",8.15088130767012e-10,6.11577958178141,6.03861290211936,5.8892299365085
"sigma_KMuscleBase",0.000300890937792682,5.31659246496358,6.84513947715574,9.93266792309888
"sigma_Kecf_base",0.00110793903831745,2.92478114377137,3.66924792436099,5.19658049268852
"sigma_Km",0.000117904296430624,1.84737568309136,2.2764157803838,3.12089749297811
"sigma_Vmax",0.000657831847513668,0.0178068918939946,0.0219683886474116,0.0303127489950046
"sigma_V_plasma",0.000191797733940706,0.524214860924208,0.517967842646998,0.511197750351256
"sigma_V_inter",0.000478217278637421,1.18449668964072,1.17424094124782,1.1747639214953
"sigma_V_muscle",0.000412194284877947,6.97536081177039,8.98145851554341,13.0339630621622
"sigma_m_K_ALDO",0.000688275071453731,7.30585861281943,8.53566592053115,11.1730054054547
"sigma_ALD_eq",0.000417091599971274,4.7937650468016,5.79489961578648,7.88008329957235
"sigma_P_ECF",5.12007849010972e-10,1.02585317399515,1.44748279227718,2.25788358453353
"sigma_FF",2.04750840788381e-09,0.182400371580276,0.179566318386613,0.173687753359034
